UF,MUNICIPIO,ID_IBGE,POPULACAO_TOTAL
MG,Alvorada de Minas,3102407,4359
PI,Alvorada do Gurguéia,2200459,5474
GO,Alvorada do Norte,5200803,8619
PR,Alvorada do Sul,4100806,10481
RO,Alvorada D'Oeste,1100346,13720
RR,Amajari,1400027,16112
MS,Amambai,5000609,41751
AP,Amapá,1600105,8440
MA,Amapá do Maranhão,2100550,7380
PR,Amaporã,4100905,4688
PE,Amaraji,2600906,18335
RS,Amaral Ferrador,4300638,5384
GO,Amaralina,5200829,3267
PI,Amarante,2200509,17594
MA,Amarante do Maranhão,2100600,38335
BA,Amargosa,2901007,38585
AM,Amaturá,1300060,11533
BA,Amélia Rodrigues,2901106,24830
BA,América Dourada,2901155,15572
SP,Americana,3501608,247571
GO,Americano do Brasil,5200852,5260
SP,Américo Brasiliense,3501707,33708
SP,Américo de Campos,3501806,5981
RS,Ametista do Sul,4300646,7826
CE,Amontada,2300754,44584
GO,Amorinópolis,5200902,2906
SP,Amparo,3501905,69792
PB,Amparo,2500734,2328
SE,Amparo do São Francisco,2800100,2202
MG,Amparo do Serra,3102506,4574
PR,Ampére,4101002,20337
AL,Anadia,2700201,14167
BA,Anagé,2901205,26745
PR,Anahy,4101051,2971
PA,Anajás,1500701,30247
MA,Anajatuba,2100709,26250
SP,Analândia,3502002,4694
AM,Anamã,1300086,9981
TO,Ananás,1701002,10700
PA,Ananindeua,1500800,509227
GO,Anápolis,5201108,420300
PA,Anapu,1500859,35638
MA,Anapurus,2100808,14113
MS,Anastácio,5000708,24781
MS,Anaurilândia,5000807,7688
SC,Anchieta,4200804,5955
ES,Anchieta,3200409,33017
BA,Andaraí,2901304,13545
PR,Andirá,4101101,19989
BA,Andorinha,2901353,15491
MG,Andradas,3102605,42501
SP,Andradina,3502101,61625
RS,André da Rocha,4300661,1156
MG,Andrelândia,3102803,12163
SP,Angatuba,3502200,24573
MG,Angelândia,3102852,7849
MS,Angélica,5000856,11308
PE,Angelim,2601003,10591
SC,Angelina,4200903,5484
BA,Angical,2901403,14178
PI,Angical do Piauí,2200608,6991
TO,Angico,1701051,2903
RN,Angicos,2400802,11985
RJ,Angra dos Reis,3300100,179142
BA,Anguera,2901502,11490
PR,Ângulo,4101150,3357
GO,Anhanguera,5201207,913
SP,Anhembi,3502309,5766
SP,Anhumas,3502408,4118
GO,Anicuns,5201306,18306
PI,Anísio de Abreu,2200707,9649
SC,Anita Garibaldi,4201000,8339
SC,Anitápolis,4201109,3761
AM,Anori,1300102,18056
RS,Anta Gorda,4300703,6080
BA,Antas,2901601,14984
PR,Antonina,4101200,18140
CE,Antonina do Norte,2300804,7507
PI,Antônio Almeida,2200806,3234
BA,Antônio Cardoso,2901700,11498
MG,Antônio Carlos,3102902,11350
SC,Antônio Carlos,4201208,12464
MG,Antônio Dias,3103009,9375
BA,Antônio Gonçalves,2901809,11248
MS,Antônio João,5000906,9717
RN,Antônio Martins,2400901,6730
PR,Antônio Olinto,4101309,7048
RS,Antônio Prado,4300802,13332
MG,Antônio Prado de Minas,3103108,1552
PB,Aparecida,2500775,8257
SP,Aparecida,3502507,33141
GO,Aparecida de Goiânia,5201405,556021
GO,Aparecida do Rio Doce,5201454,3045
TO,Aparecida do Rio Negro,1701101,5110
MS,Aparecida do Taboado,5001003,29826
SP,Aparecida d'Oeste,3502606,4112
RJ,Aperibé,3300159,11426
ES,Apiacá,3200508,7462
MT,Apiacás,5100805,8693
SP,Apiaí,3502705,24857
MA,Apicum-Açu,2100832,18033
SC,Apiúna,4201257,10041
RN,Apodi,2401008,37486
BA,Aporá,2901908,16361
GO,Aporé,5201504,4488
BA,Apuarema,2901957,7101
PR,Apucarana,4101408,134910
AM,Apuí,1300144,21781
CE,Apuiarés,2300903,13193
SE,Aquidabã,2800209,20556
MS,Aquidauana,5001102,48689
CE,Aquiraz,2301000,85316
SC,Arabutã,4201273,4505
PB,Araçagi,2500809,16991
MG,Araçaí,3103207,2222
SE,Aracaju,2800308,630932
SP,Araçariguama,3502754,22314
BA,Araçás,2902054,11953
CE,Aracati,2301109,79205
BA,Aracatu,2902005,14440
SP,Araçatuba,3502804,208415
BA,Araci,2902104,50308
MG,Aracitaba,3103306,2095
CE,Aracoiaba,2301208,26752
PE,Araçoiaba,2601052,19996
SP,Araçoiaba da Serra,3502903,33832
ES,Aracruz,3200607,103363
GO,Araçu,5201603,3840
MG,Araçuaí,3103405,35185
GO,Aragarças,5201702,18601
GO,Aragoiânia,5201801,12806
TO,Aragominas,1701309,5330
TO,Araguacema,1701903,6022
TO,Araguaçu,1702000,8242
MT,Araguaiana,5101001,4005
TO,Araguaína,1702109,183024
MT,Araguainha,5101209,997
TO,Araguanã,1702158,4300
MA,Araguanã,2100873,11297
GO,Araguapaz,5202155,7152
MG,Araguari,3103504,123432
TO,Araguatins,1702208,33286
MA,Araioses,2100907,40231
MS,Aral Moreira,5001243,11125
BA,Aramari,2902203,10106
RS,Arambaré,4300851,4215
MA,Arame,2100956,26089
SP,Aramina,3503000,5535
SP,Arandu,3503109,7076
MG,Arantina,3103603,2998
SP,Arapeí,3503158,2355
AL,Arapiraca,2700300,243906
TO,Arapoema,1702307,5488
MG,Araponga,3103702,8218
PR,Arapongas,4101507,124838
MG,Araporã,3103751,9069
PR,Arapoti,4101606,26325
MG,Arapuá,3103801,2668
PR,Arapuã,4101655,3573
MT,Araputanga,5101258,14805
SC,Araquari,4201307,52079
PB,Arara,2500908,12482
SC,Araranguá,4201406,76611
SP,Araraquara,3503208,253474
SP,Araras,3503307,135744
CE,Ararendá,2301257,11532
MA,Arari,2101004,30555
RS,Araricá,4300877,8831
CE,Araripe,2301307,20194
PE,Araripina,2601102,90504
RJ,Araruama,3300209,137906
PR,Araruna,4101705,14894
PB,Araruna,2501005,17360
BA,Arataca,2902252,10433
RS,Aratiba,4300901,6618
CE,Aratuba,2301406,11427
BA,Aratuípe,2902302,8993
SE,Arauá,2800407,10464
PR,Araucária,4101804,162247
MG,Araújos,3103900,9634
MG,Araxá,3104007,118786
MG,Arceburgo,3104106,9335
SP,Arco-Íris,3503356,2089
MG,Arcos,3104205,43653
PE,Arcoverde,2601201,82487
MG,Areado,3104304,14229
RJ,Areal,3300225,12239
SP,Arealva,3503406,8290
PB,Areia,2501104,23031
RN,Areia Branca,2401107,24607
SE,Areia Branca,2800506,18626
PB,Areia de Baraúnas,2501153,2027
PB,Areial,2501203,7434
SP,Areias,3503505,3617
SP,Areiópolis,3503604,10242
MT,Arenápolis,5101308,10769
GO,Arenópolis,5202353,2904
RN,Arês,2401206,13681
MG,Argirita,3104403,2715
MG,Aricanduva,3104452,4820
MG,Arinos,3104502,17586
MT,Aripuanã,5101407,26558
RO,Ariquemes,1100023,109170
SP,Ariranha,3503703,7621
PR,Ariranha do Ivaí,4101853,2351
RJ,Armação dos Búzios,3300233,42527
SC,Armazém,4201505,9289
CE,Arneiroz,2301505,7615
PI,Aroazes,2200905,5413
PB,Aroeiras,2501302,19142
PI,Aroeiras do Itaim,2200954,2777
PI,Arraial,2201002,4517
RJ,Arraial do Cabo,3300258,32822
TO,Arraias,1702406,10511
RS,Arroio do Meio,4301008,22523
RS,Arroio do Padre,4301073,2650
RS,Arroio do Sal,4301057,11418
RS,Arroio do Tigre,4301206,12291
RS,Arroio dos Ratos,4301107,14934
RS,Arroio Grande,4301305,17879
SC,Arroio Trinta,4201604,3634
SP,Artur Nogueira,3503802,53467
GO,Aruanã,5202502,8570
SP,Arujá,3503901,90273
SC,Arvoredo,4201653,2623
RS,Arvorezinha,4301404,10547
SC,Ascurra,4201703,8720
SP,Aspásia,3503950,1875
PR,Assaí,4101903,13477
CE,Assaré,2301604,22195
SP,Assis,3504008,104858
AC,Assis Brasil,1200054,8648
PR,Assis Chateaubriand,4102000,38357
PB,Assunção,2501351,4383
PI,Assunção do Piauí,2201051,7596
MG,Astolfo Dutra,3104601,14633
PR,Astorga,4102109,26203
PR,Atalaia,4102208,4046
AL,Atalaia,2700409,38480
AM,Atalaia do Norte,1300201,15889
SC,Atalanta,4201802,3265
MG,Ataléia,3104700,13936
SP,Atibaia,3504107,167161
ES,Atílio Vivácqua,3200706,11046
TO,Augustinópolis,1702554,18237
PA,Augusto Corrêa,1500909,47912
MG,Augusto de Lima,3104809,4572
RS,Augusto Pestana,4301503,7303
RS,Áurea,4301552,3458
BA,Aurelino Leal,2902401,11339
SP,Auriflama,3504206,13856
GO,Aurilândia,5202601,3237
SC,Aurora,4201901,7241
CE,Aurora,2301703,24244
PA,Aurora do Pará,1500958,24193
TO,Aurora do Tocantins,1702703,3418
AM,Autazes,1300300,45960
SP,Avaí,3504305,4503
SP,Avanhandava,3504404,11436
SP,Avaré,3504503,96450
PA,Aveiro,1501006,19380
PI,Avelino Lopes,2201101,11118
GO,Avelinópolis,5202809,2993
MA,Axixá,2101103,12091
TO,Axixá do Tocantins,1702901,10732
TO,Babaçulândia,1703008,7636
MA,Bacabal,2101202,107755
MA,Bacabeira,2101251,17459
MA,Bacuri,2101301,16591
MA,Bacurituba,2101350,5375
SP,Bady Bassitt,3504602,29346
MG,Baependi,3104908,18782
RS,Bagé,4301602,121928
PA,Bagre,1501105,35147
PB,Baía da Traição,2501401,9741
RN,Baía Formosa,2401404,9115
BA,Baianópolis,2902500,14138
PA,Baião,1501204,56850
BA,Baixa Grande,2902609,18628
PI,Baixa Grande do Ribeiro,2201150,13983
CE,Baixio,2301802,5821
ES,Baixo Guandu,3200805,32829
SP,Balbinos,3504701,3969
MG,Baldim,3105004,7595
GO,Baliza,5203104,3306
SC,Balneário Arroio do Silva,4201950,17786
SC,Balneário Barra do Sul,4202057,16953
SC,Balneário Camboriú,4202008,151674
SC,Balneário Gaivota,4202073,17986
SC,Balneário Piçarras,4212809,30593
RS,Balneário Pinhal,4301636,15413
SC,Balneário Rincão,4220000,17697
PR,Balsa Nova,4102307,13867
SP,Bálsamo,3504800,9902
MA,Balsas,2101400,105974
MG,Bambuí,3105103,24203
CE,Banabuiú,2301851,17667
SP,Bananal,3504909,10097
PB,Bananeiras,2501500,24134
MG,Bandeira,3105202,4811
MG,Bandeira do Sul,3105301,6183
SC,Bandeirante,4202081,3265
MS,Bandeirantes,5001508,8342
PR,Bandeirantes,4102406,31747
TO,Bandeirantes do Tocantins,1703057,3555
PA,Bannach,1501253,4290
BA,Banzaê,2902658,12288
RS,Barão,4301651,6496
SP,Barão de Antonina,3505005,3632
MG,Barão de Cocais,3105400,32264
RS,Barão de Cotegipe,4301701,7320
MA,Barão de Grajaú,2101509,19493
MT,Barão de Melgaço,5101605,7137
MG,Barão do Monte Alto,3105509,4952
RS,Barão do Triunfo,4301750,5972
PB,Baraúna,2501534,5010
RN,Baraúna,2401453,28415
MG,Barbacena,3105608,129695
CE,Barbalha,2301901,81441
SP,Barbosa,3505104,5627
PR,Barbosa Ferraz,4102505,10580
PA,Barcarena,1501303,139076
RN,Barcelona,2401503,4108
AM,Barcelos,1300409,18210
SP,Bariri,3505203,32406
BA,Barra,2902708,53642
SP,Barra Bonita,3505302,35129
SC,Barra Bonita,4202099,1642
BA,Barra da Estiva,2902807,27743
PI,Barra D'Alcântara,2201176,4099
PE,Barra de Guabiraba,2601300,12601
PB,Barra de Santa Rosa,2501609,13024
PB,Barra de Santana,2501575,8247
AL,Barra de Santo Antônio,2700508,16756
ES,Barra de São Francisco,3200904,45415
AL,Barra de São Miguel,2700607,8123
PB,Barra de São Miguel,2501708,6123
MT,Barra do Bugres,5101704,29406
SP,Barra do Chapéu,3505351,5254
BA,Barra do Choça,2902906,38581
MA,Barra do Corda,2101608,87757
MT,Barra do Garças,5101803,73878
RS,Barra do Guarita,4301859,3231
PR,Barra do Jacaré,4102703,2872
BA,Barra do Mendes,2903003,14376
TO,Barra do Ouro,1703073,4667
RJ,Barra do Piraí,3300308,98506
RS,Barra do Quaraí,4301875,4340
RS,Barra do Ribeiro,4301909,12473
RS,Barra do Rio Azul,4301925,1721
BA,Barra do Rocha,2903102,5898
SP,Barra do Turvo,3505401,6894
SE,Barra dos Coqueiros,2800605,45175
RS,Barra Funda,4301958,2557
MG,Barra Longa,3105707,5717
RJ,Barra Mansa,3300407,181679
SC,Barra Velha,4202107,52860
RS,Barracão,4301800,4915
PR,Barracão,4102604,9903
PI,Barras,2201200,49703
CE,Barreira,2301950,23474
BA,Barreiras,2903201,171634
PI,Barreiras do Piauí,2201309,3336
AM,Barreirinha,1300508,33722
MA,Barreirinhas,2101707,68234
PE,Barreiros,2601409,42083
SP,Barretos,3505500,126957
SP,Barrinha,3505609,33304
CE,Barro,2302008,19569
BA,Barro Alto,2903235,13922
GO,Barro Alto,5203203,10853
PI,Barro Duro,2201408,6731
BA,Barro Preto,2903300,5936
BA,Barrocas,2903276,15780
TO,Barrolândia,1703107,4890
CE,Barroquinha,2302057,14998
RS,Barros Cassal,4302006,9425
MG,Barroso,3105905,20604
SP,Barueri,3505708,333737
SP,Bastos,3505807,21936
MS,Bataguassu,5001904,24222
AL,Batalha,2700706,17103
PI,Batalha,2201507,27129
SP,Batatais,3505906,59939
MS,Batayporã,5002001,10947
CE,Baturité,2302107,37147
SP,Bauru,3506003,392947
PB,Bayeux,2501807,83862
SP,Bebedouro,3506102,78257
CE,Beberibe,2302206,55977
CE,Bela Cruz,2302305,34613
MS,Bela Vista,5002100,21881
PR,Bela Vista da Caroba,4102752,4122
GO,Bela Vista de Goiás,5203302,37305
MG,Bela Vista de Minas,3106002,10427
MA,Bela Vista do Maranhão,2101772,12104
PR,Bela Vista do Paraíso,4102802,14982
PI,Bela Vista do Piauí,2201556,4225
SC,Bela Vista do Toldo,4202131,5939
MA,Belágua,2101731,8751
PA,Belém,1501402,1397315
PB,Belém,2501906,16710
AL,Belém,2700805,4819
PE,Belém de Maria,2601508,10798
PB,Belém do Brejo do Cruz,2502003,6272
PI,Belém do Piauí,2201572,3515
PE,Belém do São Francisco,2601607,18648
RJ,Belford Roxo,3300456,518384
MG,Belmiro Braga,3106101,3292
BA,Belmonte,2903409,20527
SC,Belmonte,4202156,2712
BA,Belo Campo,2903508,19074
MG,Belo Horizonte,3106200,2415872
PE,Belo Jardim,2601706,84033
AL,Belo Monte,2700904,5895
MG,Belo Oriente,3106309,24546
MG,Belo Vale,3106408,9012
PA,Belterra,1501451,19075
PI,Beneditinos,2201606,10093
MA,Benedito Leite,2101806,5599
SC,Benedito Novo,4202206,10757
PA,Benevides,1501501,68962
AM,Benjamin Constant,1300607,40908
RS,Benjamin Constant do Sul,4302055,2118
SP,Bento de Abreu,3506201,2640
RN,Bento Fernandes,2401602,4911
RS,Bento Gonçalves,4302105,127977
MA,Bequimão,2101905,19968
MG,Berilo,3106507,9638
MG,Berizal,3106655,4270
PB,Bernardino Batista,2502052,3677
SP,Bernardino de Campos,3506300,11881
MA,Bernardo do Mearim,2101939,5989
TO,Bernardo Sayão,1703206,4307
SP,Bertioga,3506359,67436
PI,Bertolínia,2201705,5715
MG,Bertópolis,3106606,4546
AM,Beruri,1300631,22495
PE,Betânia,2601805,11961
PI,Betânia do Piauí,2201739,6596
MG,Betim,3106705,431433
PE,Bezerros,2601904,65007
MG,Bias Fortes,3106804,3367
MG,Bicas,3106903,14358
SC,Biguaçu,4202305,83756
SP,Bilac,3506409,7464
MG,Biquinhas,3107000,2397
SP,Birigui,3506508,123340
SP,Biritiba Mirim,3506607,30564
BA,Biritinga,2903607,15603
PR,Bituruna,4102901,15650
SC,Blumenau,4202404,385558
PR,Boa Esperança,4103008,4595
ES,Boa Esperança,3201001,14054
MG,Boa Esperança,3107109,41443
PR,Boa Esperança do Iguaçu,4103024,2421
MT,Boa Esperança do Norte,5101837,5877
SP,Boa Esperança do Sul,3506706,13113
PI,Boa Hora,2201770,7140
BA,Boa Nova,2903706,14008
PB,Boa Ventura,2502102,5246
PR,Boa Ventura de São Roque,4103040,6241
CE,Boa Viagem,2302404,52133
PB,Boa Vista,2502151,6592
RR,Boa Vista,1400100,485477
PR,Boa Vista da Aparecida,4103057,8023
RS,Boa Vista das Missões,4302154,1968
RS,Boa Vista do Buricá,4302204,7129
RS,Boa Vista do Cadeado,4302220,2269
MA,Boa Vista do Gurupi,2101970,7781
RS,Boa Vista do Incra,4302238,2314
AM,Boa Vista do Ramos,1300680,26479
RS,Boa Vista do Sul,4302253,2815
BA,Boa Vista do Tupim,2903805,17262
AL,Boca da Mata,2701001,21479
AM,Boca do Acre,1300706,38792
PI,Bocaina,2201804,4118
SP,Bocaina,3506805,11480
MG,Bocaina de Minas,3107208,5530
SC,Bocaina do Sul,4202438,3639
MG,Bocaiúva,3107307,49797
PR,Bocaiúva do Sul,4103107,13405
RN,Bodó,2401651,2360
PE,Bodocó,2602001,36145
MS,Bodoquena,5002159,8887
SP,Bofete,3506904,10710
SP,Boituva,3507001,63850
PE,Bom Conselho,2602100,46202
MG,Bom Despacho,3107406,54377
PE,Bom Jardim,2602209,39289
MA,Bom Jardim,2102002,33936
RJ,Bom Jardim,3300506,29758
SC,Bom Jardim da Serra,4202503,3995
GO,Bom Jardim de Goiás,5203401,7775
MG,Bom Jardim de Minas,3107505,6988
PI,Bom Jesus,2201903,30658
RN,Bom Jesus,2401701,10308
PB,Bom Jesus,2502201,2328
SC,Bom Jesus,4202537,2896
RS,Bom Jesus,4302303,11429
BA,Bom Jesus da Lapa,2903904,68866
MG,Bom Jesus da Penha,3107604,4677
BA,Bom Jesus da Serra,2903953,10018
MA,Bom Jesus das Selvas,2102036,29606
GO,Bom Jesus de Goiás,5203500,24925
MG,Bom Jesus do Amparo,3107703,5786
MT,Bom Jesus do Araguaia,5101852,7912
MG,Bom Jesus do Galho,3107802,14719
RJ,Bom Jesus do Itabapoana,3300605,37176
ES,Bom Jesus do Norte,3201100,10820
SC,Bom Jesus do Oeste,4202578,2240
PR,Bom Jesus do Sul,4103156,4072
TO,Bom Jesus do Tocantins,1703305,4201
PA,Bom Jesus do Tocantins,1501576,19129
SP,Bom Jesus dos Perdões,3507100,22579
MA,Bom Lugar,2102077,12371
RS,Bom Princípio,4302352,13665
PI,Bom Princípio do Piauí,2201919,5805
RS,Bom Progresso,4302378,2132
MG,Bom Repouso,3107901,13312
SC,Bom Retiro,4202602,8422
RS,Bom Retiro do Sul,4302402,12587
PR,Bom Sucesso,4103206,6674
MG,Bom Sucesso,3108008,17515
PB,Bom Sucesso,2502300,4720
SP,Bom Sucesso de Itararé,3507159,3609
PR,Bom Sucesso do Sul,4103222,3244
SC,Bombinhas,4202453,28738
RR,Bonfim,1400159,15570
MG,Bonfim,3108107,7710
PI,Bonfim do Piauí,2201929,6117
GO,Bonfinópolis,5203559,11025
MG,Bonfinópolis de Minas,3108206,5600
BA,Boninal,2904001,14125
BA,Bonito,2904050,16425
PE,Bonito,2602308,39212
PA,Bonito,1501600,12961
MS,Bonito,5002209,25034
MG,Bonito de Minas,3108255,10525
PB,Bonito de Santa Fé,2502409,10433
GO,Bonópolis,5203575,3289
PB,Boqueirão,2502508,18216
RS,Boqueirão do Leão,4302451,6202
PI,Boqueirão do Piauí,2201945,6751
SE,Boquim,2800670,25007
BA,Boquira,2904100,19782
SP,Borá,3507209,932
SP,Boracéia,3507308,4838
AM,Borba,1300805,34869
PB,Borborema,2502706,4185
SP,Borborema,3507407,14405
MG,Borda da Mata,3108305,17837
SP,Borebi,3507456,2801
PR,Borrazópolis,4103305,7818
RS,Bossoroca,4302501,5978
MG,Botelhos,3108404,15141
SP,Botucatu,3507506,151053
MG,Botumirim,3108503,5806
BA,Botuporã,2904209,11427
SC,Botuverá,4202701,5705
RS,Bozano,4302584,2195
SC,Braço do Norte,4202800,35985
SC,Braço do Trombudo,4202859,4256
RS,Braga,4302600,3322
PA,Bragança,1501709,132489
SP,Bragança Paulista,3507605,185688
PR,Braganey,4103354,4745
AL,Branquinha,2701100,9779
MG,Brás Pires,3108701,4296
PA,Brasil Novo,1501725,27130
MS,Brasilândia,5002308,11833
MG,Brasilândia de Minas,3108552,15485
PR,Brasilândia do Sul,4103370,3861
TO,Brasilândia do Tocantins,1703602,2013
AC,Brasiléia,1200104,28028
PI,Brasileira,2201960,8684
DF,Brasília,5300108,2996899
MG,Brasília de Minas,3108602,33262
MT,Brasnorte,5101902,17645
SP,Braúna,3507704,5477
MG,Braúnas,3108800,4445
GO,Brazabrantes,5203609,4201
MG,Brazópolis,3108909,14491
PE,Brejão,2602407,9417
ES,Brejetuba,3201159,13718
PE,Brejinho,2602506,8033
RN,Brejinho,2401800,12638
TO,Brejinho de Nazaré,1703701,4774
MA,Brejo,2102101,35354
SP,Brejo Alegre,3507753,2605
PE,Brejo da Madre de Deus,2602605,51308
MA,Brejo de Areia,2102150,9363
PB,Brejo do Cruz,2502805,14095
PI,Brejo do Piauí,2201988,3964
PB,Brejo dos Santos,2502904,5816
SE,Brejo Grande,2800704,8025
PA,Brejo Grande do Araguaia,1501758,6966
CE,Brejo Santo,2302503,54192
BA,Brejões,2904308,13224
BA,Brejolândia,2904407,9363
PA,Breu Branco,1501782,47066
PA,Breves,1501808,116058
GO,Britânia,5203807,5798
RS,Brochier,4302659,5083
SP,Brodowski,3507803,26314
SP,Brotas,3507902,24501
BA,Brotas de Macaúbas,2904506,12180
MG,Brumadinho,3109006,41090
BA,Brumado,2904605,74368
SC,Brunópolis,4202875,2433
SC,Brusque,4202909,155307
MG,Bueno Brandão,3109105,11168
MG,Buenópolis,3109204,9171
